date,state,death,deathIncrease,positive,positiveIncrease,totalTestResults,totalTestResultsIncrease
20200305,CO,0,0,0,0,10,10
20200306,CO,0,0,2,2,10,10
20200307,CO,0,0,8,6,10,10
20200308,CO,0,0,8,0,10,10
20200309,CO,0,0,9,1,10,10
20200310,CO,0,0,12,3,30,30
20200311,CO,0,0,28,16,50,50
20200312,CO,0,0,45,17,70,70
20200313,CO,0,0,72,27,198,128
20200314,CO,1,1,101,29,333,135
20200315,CO,1,0,131,30,525,192
20200316,CO,1,0,131,0,704,179
20200317,CO,1,0,160,29,1007,303
20200318,CO,2,1,183,23,1468,461
20200319,CO,2,0,216,33,2204,736
20200320,CO,3,1,277,61,2728,524
20200321,CO,4,1,363,86,3535,807
20200322,CO,5,1,475,112,4367,832
20200323,CO,6,1,591,116,5789,1422
20200324,CO,7,1,720,129,6713,924
20200325,CO,11,4,912,192,7944,1231
20200326,CO,19,8,1086,174,9078,1134
20200327,CO,24,5,1430,344,10911,1833
20200328,CO,31,7,1734,304,12504,1593
20200329,CO,44,13,2061,327,14191,1687
20200330,CO,51,7,2627,566,15474,1283
20200331,CO,51,0,2627,0,17107,1633
20200401,CO,69,18,2966,339,18514,1407
20200402,CO,80,11,3342,376,20206,1692
20200403,CO,97,17,3728,386,21795,1589
20200404,CO,111,14,4173,445,23611,1816
20200405,CO,126,15,4565,392,25579,1968
20200406,CO,140,14,4950,385,27699,2120
20200407,CO,150,10,5172,222,28901,1202
20200408,CO,179,29,5429,257,30535,1634
20200409,CO,193,14,5655,226,31768,1233
20200410,CO,250,57,6510,855,33967,2199
20200411,CO,250,0,6510,0,35642,1675
20200412,CO,274,24,6893,383,38104,2462
20200413,CO,304,30,7684,791,40689,2585
20200414,CO,308,4,7691,7,42483,1794
20200415,CO,329,21,7941,250,43501,1018
20200416,CO,357,28,8280,339,44683,1182
20200417,CO,374,17,8675,395,46178,1495
20200418,CO,391,17,9047,372,47884,1706
20200419,CO,411,20,9433,386,49465,1581
20200420,CO,422,11,9730,297,51291,1826
20200421,CO,449,27,10106,376,52768,1477
20200422,CO,486,37,10447,341,54244,1476
20200423,CO,508,22,10878,431,56411,2167
20200424,CO,552,44,11262,384,58315,1904
20200425,CO,674,122,12256,994,63564,5249
20200426,CO,672,-2,12968,712,66507,2943
20200427,CO,680,8,13441,473,69744,3237
20200428,CO,706,26,13879,438,72403,2659
20200429,CO,760,54,14735,856,75105,2702
20200430,CO,766,6,14758,23,77859,2754
20200501,CO,777,11,15284,526,81171,3312
20200502,CO,820,43,15768,484,84507,3336
20200503,CO,832,12,16225,457,87842,3335
20200504,CO,842,10,16635,410,91424,3582
20200505,CO,851,9,16907,272,93656,2232
20200506,CO,903,52,17364,457,96666,3010
20200507,CO,921,18,17830,466,99827,3161
20200508,CO,961,40,18801,971,103133,3306
20200509,CO,960,-1,18827,26,108509,5376
20200510,CO,967,7,19703,876,113189,4680
20200511,CO,981,14,19899,196,117213,4024
20200512,CO,987,6,19879,-20,120284,3071
20200513,CO,1009,22,20157,278,123213,2929
20200514,CO,1062,53,20475,318,127034,3821
20200515,CO,1091,29,20838,363,131051,4017
20200516,CO,878,-213,21232,394,135313,4262
20200517,CO,878,0,21633,401,139735,4422
20200518,CO,878,0,21938,305,143149,3414
20200519,CO,921,43,22202,264,146418,3269
20200520,CO,968,47,22482,280,149432,3014
20200521,CO,1001,33,22797,315,153797,4365
20200522,CO,1062,61,23191,394,158918,5121
20200523,CO,1088,26,23487,296,162468,3550
20200524,CO,1088,0,23964,477,168665,6197
20200525,CO,1088,0,24174,210,172044,3379
20200526,CO,1088,0,24269,95,176077,4033
20200527,CO,1114,26,24565,296,180252,4175
20200528,CO,1135,21,24767,202,184692,4440
20200529,CO,1168,33,25121,354,191870,7178
20200530,CO,1181,13,25613,492,199785,7915
20200531,CO,1181,0,26098,485,205488,5703
20200601,CO,1181,0,26378,280,213020,7532
20200602,CO,1185,4,26577,199,218116,5096
20200603,CO,1228,43,26788,211,221511,3395
20200604,CO,1254,26,27060,272,226370,4859
20200605,CO,1255,1,27360,300,234666,8296
20200606,CO,1274,19,27615,255,241247,6581
20200607,CO,1274,0,27848,233,246937,5690
20200608,CO,1274,0,28001,153,252303,5366
20200609,CO,1292,18,28183,182,257564,5261
20200610,CO,1312,20,28347,164,262357,4793
20200611,CO,1328,16,28499,152,267529,5172
20200612,CO,1339,11,28647,148,272930,5401
20200613,CO,1348,9,28822,175,278526,5596
20200614,CO,1348,0,29017,195,285911,7385
20200615,CO,1348,0,29130,113,291804,5893
20200616,CO,1373,25,29299,169,296968,5164
20200617,CO,1373,0,29442,143,301449,4481
20200618,CO,1402,29,29673,231,308267,6818
20200619,CO,1417,15,29901,228,314769,6502
20200620,CO,1429,12,30187,286,322364,7595
20200621,CO,1429,0,30349,162,329380,7016
20200622,CO,1429,0,30539,190,335017,5637
20200623,CO,1438,9,30705,166,341255,6238
20200624,CO,1455,17,30893,188,345369,4114
20200625,CO,1457,2,31155,262,351650,6281
20200626,CO,1475,18,31479,324,359937,8287
20200627,CO,1482,7,31796,317,367175,7238
20200628,CO,1482,0,32022,226,375696,8521
20200629,CO,1482,0,32307,285,383351,7655
20200630,CO,1508,26,32511,204,388813,5462
20200701,CO,1520,12,32715,204,394616,5803
20200702,CO,1520,0,33029,314,401617,7001
20200703,CO,1521,1,33352,323,410323,8706
20200704,CO,1521,0,33619,267,418257,7934
20200705,CO,1521,0,33866,247,424954,6697
20200706,CO,1521,0,34065,199,431701,6747
20200707,CO,1542,21,34257,192,438272,6571
20200708,CO,1542,0,34664,407,444462,6190
20200709,CO,1544,2,35116,452,451593,7131
20200710,CO,1581,37,35525,409,460925,9332
20200711,CO,1586,5,36191,666,472300,11375
20200712,CO,1586,0,36591,400,481350,9050
20200713,CO,1586,0,36913,322,490677,9327
20200714,CO,1589,3,37242,329,498831,8154
20200715,CO,1594,5,37686,444,506128,7297
20200716,CO,1601,7,38155,469,514742,8614
20200717,CO,1615,14,38726,571,525680,10938
20200718,CO,1615,0,39344,618,534621,8941
20200719,CO,1615,0,39788,444,543670,9049
20200720,CO,1615,0,40142,354,552916,9246
20200721,CO,1615,0,40566,424,565299,12383
