FID,Incid_Name,Area_ha
0,Fire_6,585
1,Fire_1_12,431
2,Fire1 OKLAHOMA RANGE,7179
3,Fire112,205
4,Fire20 BUFFALO POINT MAINTENANCE,344
5,Fire20 CAMPBELL/BEAVER,204
6,Fire20 LONGBAY,457
7,Fire20 MILE,594
8,Fire20 NORTH RIVER ROAD,231
9,Fire20 TONEY BEND,265
10,Fire2020,309
11,Fire2020 MID OKLAHOMA AND STUART CREEK RX,1300
12,Fire21 TYLER BEND ROAD NORTH,210
13,Fire25,872
14,Fire369 D,2166
15,Fire36TH AVE SE,2650
16,Fire4 POINT,720
17,Fire412 FIRE,8934
18,Fire4H OLD GROWTH AND WOLF MOUNTAIN,674
19,Fire5 MILE SWAMP,795
20,Fire74.5,748
21,Fire7D2,2123
22,Fire8.1 RX,685
23,ACORN FLATS,2167
24,ADAMSON CA,1689
25,AIRPLANE,464
26,AIRPORT,657
27,ALEXANDER MOUNTAIN BLOCK 3 AND 4,1069
28,ALISAL,7154
29,ALLEN,503
30,ALMEDA DRIVE,1230
31,ANGLIN,830
32,ANNA REESE 4,398
33,ANTELOPE,9852
34,APPLE,13099
35,APPLE ACRES,2248
36,ARCHIE CREEK,53376
37,AREA-16,1217
38,AREA 11,2891
39,AREA 6 NORTH,1326
40,ARROYO GRANDE,1964
41,ASHFORD WELCH,2419
42,AUGUST COMPLEX,432525
43,AVENIR,221
44,BACCARAT,4110
45,BADGER,35144
46,BALDY,2069
47,BANCROFT,589
48,BANDDANA CREEK,646
49,BAR H,591
50,BASIN,16679
51,BAYTREE,282
52,BEACH,1470
53,BEACHIE CREEK,78761
54,BEAR CREEK,6061
55,BEAR ISLAND,390
56,BEAVER,655
57,BEN YOUNG,503
58,BENA,1262
59,BENT FORT,582
60,BENT RIM,1482
61,BERNARD,588
62,BICY-RACCOON POINT RX FY22,1461
63,BIENVILLE BB 22,306
64,BIENVILLE BB 235/236,498
65,BIENVILLE BB 242/243/246,590
66,BIENVILLE CPT 30,686
67,BIG BARREN CREEK,3299
68,BIG CREEK,2589
69,BIG DITCH,649
70,BIG HOLLOW,9811
71,BIG PINEY ROUND HILL,822
72,BIG POINT,1560
73,BIG ROCKS,2558
74,BIG SPRINGS,1197
75,BIG SUMMIT,2944
76,BIG TIMBER,580
77,BIGHORN,51045
78,BIGWOODS C81/86,1610
79,BILLY HAWK CREEK,904
80,BILLYS BRANCH,203
81,BIRCHFIELD,1017
82,BISHOP,5136
83,BK INMAN CREEK,312
84,BK MORELAND,424
85,BK OWL CREEK,1148
86,BK TURKEY FOOT,336
87,BLACK BUTTE,566
88,BLACK CANYON,2987
89,BLACK PINE,1501
90,BLUE CREEK,1700
91,BLUE RIDGE,5614
92,BLUE RIVER,11863
